No.,Symbol,Company Name,Market Cap
1,NVDA,NVIDIA Corporation,3437879500000
2,AAPL,Apple Inc.,3446704716000
3,MSFT,Microsoft Corporation,3091125708800
4,AMZN,"Amazon.com, Inc.",2124292875000
5,WMT,Walmart Inc.,675856060000
6,JPM,JPMorgan Chase & Co.,689842760200
7,V,Visa Inc.,595876772438
8,UNH,UnitedHealth Group Incorporated,542645460600
9,HD,"The Home Depot, Inc.",407687178920
10,PG,The Procter & Gamble Company,402123080000
11,JNJ,Johnson & Johnson,372627347400
12,CRM,"Salesforce, Inc.",306203358400
13,CVX,Chevron Corporation,287246865600
14,KO,The Coca-Cola Company,266480508000
15,MRK,"Merck & Co., Inc.",243503146400
16,CSCO,"Cisco Systems, Inc.",228438806200
17,MCD,McDonald's Corporation,208608082000
18,DIS,The Walt Disney Company,202191451000
19,AXP,American Express Company,201147225300
20,IBM,International Business Machines Corporation,192409378050
21,GS,"The Goldman Sachs Group, Inc.",184575940900
22,CAT,Caterpillar Inc.,185618441380
23,VZ,Verizon Communications Inc.,177856867500
24,AMGN,Amgen Inc.,149842699080
25,HON,Honeywell International Inc.,148809025950
26,NKE,"NIKE, Inc.",110424242739
27,BA,The Boeing Company,107553759120
28,SHW,The Sherwin-Williams Company,94533023550
29,MMM,3M Company,70180041125
30,TRV,"The Travelers Companies, Inc.",59635621110