SYM,ZTS,SMART/AMEX
SYM,ZBH,SMART/AMEX
SYM,ZBRA,SMART/AMEX
SYM,YUM,SMART/AMEX
SYM,XYL,SMART/AMEX
SYM,XEL,SMART/AMEX
SYM,WYNN,SMART/AMEX
SYM,WTW,SMART/AMEX
SYM,WMB,SMART/AMEX
SYM,WY,SMART/AMEX
SYM,WDC,SMART/AMEX
SYM,WST,SMART/AMEX
SYM,WELL,SMART/AMEX
SYM,WFC,SMART/AMEX
SYM,WEC,SMART/AMEX
SYM,WAT,SMART/AMEX
SYM,WM,SMART/AMEX
SYM,WBD,SMART/AMEX
SYM,DIS,SMART/AMEX
SYM,WMT,SMART/AMEX
SYM,WBA,SMART/AMEX
SYM,WAB,SMART/AMEX
SYM,GWW,SMART/AMEX
SYM,WRB,SMART/AMEX
SYM,VMC,SMART/AMEX
SYM,VST,SMART/AMEX
SYM,V,SMART/AMEX
SYM,VICI,SMART/AMEX
SYM,VTRS,SMART/AMEX
SYM,VRTX,SMART/AMEX
SYM,VZ,SMART/AMEX
SYM,VRSK,SMART/AMEX
SYM,VRSN,SMART/AMEX
SYM,VLTO,SMART/AMEX
SYM,VTR,SMART/AMEX
SYM,VLO,SMART/AMEX
SYM,UHS,SMART/AMEX
SYM,UNH,SMART/AMEX
SYM,URI,SMART/AMEX
SYM,UPS,SMART/AMEX
SYM,UAL,SMART/AMEX
SYM,UNP,SMART/AMEX
SYM,ULTA,SMART/AMEX
SYM,UDR,SMART/AMEX
SYM,UBER,SMART/AMEX
SYM,USB,SMART/AMEX
SYM,TSN,SMART/AMEX
SYM,TYL,SMART/AMEX
SYM,TFC,SMART/AMEX
SYM,TRMB,SMART/AMEX
SYM,TRV,SMART/AMEX
SYM,TDG,SMART/AMEX
SYM,TT,SMART/AMEX
SYM,TSCO,SMART/AMEX
SYM,TJX,SMART/AMEX
SYM,TMO,SMART/AMEX
SYM,TXT,SMART/AMEX
SYM,TXN,SMART/AMEX
SYM,TSLA,SMART/AMEX
SYM,TER,SMART/AMEX
SYM,TFX,SMART/AMEX
SYM,TDY,SMART/AMEX
SYM,TEL,SMART/AMEX
SYM,TGT,SMART/AMEX
SYM,TRGP,SMART/AMEX
SYM,TPR,SMART/AMEX
SYM,TTWO,SMART/AMEX
SYM,TROW,SMART/AMEX
SYM,TMUS,SMART/AMEX
SYM,SYY,SMART/AMEX
SYM,SNPS,SMART/AMEX
SYM,SYF,SMART/AMEX
SYM,SMCI,SMART/AMEX
SYM,SYK,SMART/AMEX
SYM,STE,SMART/AMEX
SYM,STLD,SMART/AMEX
SYM,STT,SMART/AMEX
SYM,SBUX,SMART/AMEX
SYM,SWK,SMART/AMEX
SYM,LUV,SMART/AMEX
SYM,SO,SMART/AMEX
SYM,SOLV,SMART/AMEX
SYM,SNA,SMART/AMEX
SYM,SW,SMART/AMEX
SYM,SJM,SMART/AMEX
SYM,SWKS,SMART/AMEX
SYM,SPG,SMART/AMEX
SYM,SHW,SMART/AMEX
SYM,NOW,SMART/AMEX
SYM,SRE,SMART/AMEX
SYM,STX,SMART/AMEX
SYM,SLB,SMART/AMEX
SYM,SBAC,SMART/AMEX
SYM,CRM,SMART/AMEX
SYM,SPGI,SMART/AMEX
SYM,RCL,SMART/AMEX
SYM,ROST,SMART/AMEX
SYM,ROP,SMART/AMEX
SYM,ROL,SMART/AMEX
SYM,ROK,SMART/AMEX
SYM,RVTY,SMART/AMEX
SYM,RMD,SMART/AMEX
SYM,RSG,SMART/AMEX
SYM,RF,SMART/AMEX
SYM,REGN,SMART/AMEX
SYM,REG,SMART/AMEX
SYM,O,SMART/AMEX
SYM,RTX,SMART/AMEX
SYM,RJF,SMART/AMEX
SYM,RL,SMART/AMEX
SYM,DGX,SMART/AMEX
SYM,QCOM,SMART/AMEX
SYM,PWR,SMART/AMEX
SYM,QRVO,SMART/AMEX
SYM,PHM,SMART/AMEX
SYM,PSA,SMART/AMEX
SYM,PTC,SMART/AMEX
SYM,PEG,SMART/AMEX
SYM,PRU,SMART/AMEX
SYM,PLD,SMART/AMEX
SYM,PGR,SMART/AMEX
SYM,PG,SMART/AMEX
SYM,PFG,SMART/AMEX
SYM,PPL,SMART/AMEX
SYM,PPG,SMART/AMEX
SYM,POOL,SMART/AMEX
SYM,PNC,SMART/AMEX
SYM,PNW,SMART/AMEX
SYM,PSX,SMART/AMEX
SYM,PM,SMART/AMEX
SYM,PCG,SMART/AMEX
SYM,PFE,SMART/AMEX
SYM,PEP,SMART/AMEX
SYM,PNR,SMART/AMEX
SYM,PYPL,SMART/AMEX
SYM,PAYC,SMART/AMEX
SYM,PAYX,SMART/AMEX
SYM,PH,SMART/AMEX
SYM,PARA,SMART/AMEX
SYM,PANW,SMART/AMEX
SYM,PLTR,SMART/AMEX
SYM,PKG,SMART/AMEX
SYM,PCAR,SMART/AMEX
SYM,OTIS,SMART/AMEX
SYM,ORCL,SMART/AMEX
SYM,OKE,SMART/AMEX
SYM,ON,SMART/AMEX
SYM,OMC,SMART/AMEX
SYM,ODFL,SMART/AMEX
SYM,OXY,SMART/AMEX
SYM,ORLY,SMART/AMEX
SYM,NXPI,SMART/AMEX
SYM,NVR,SMART/AMEX
SYM,NVDA,SMART/AMEX
SYM,NUE,SMART/AMEX
SYM,NRG,SMART/AMEX
SYM,NCLH,SMART/AMEX
SYM,NOC,SMART/AMEX
SYM,NTRS,SMART/AMEX
SYM,NSC,SMART/AMEX
SYM,NDSN,SMART/AMEX
SYM,NI,SMART/AMEX
SYM,NKE,SMART/AMEX
SYM,NEE,SMART/AMEX
SYM,NWS,SMART/AMEX
SYM,NWSA,SMART/AMEX
SYM,NEM,SMART/AMEX
SYM,NFLX,SMART/AMEX
SYM,NTAP,SMART/AMEX
SYM,NDAQ,SMART/AMEX
SYM,MSCI,SMART/AMEX
SYM,MSI,SMART/AMEX
SYM,MOS,SMART/AMEX
SYM,MS,SMART/AMEX
SYM,MCO,SMART/AMEX
SYM,MNST,SMART/AMEX
SYM,MPWR,SMART/AMEX
SYM,MDLZ,SMART/AMEX
SYM,TAP,SMART/AMEX
SYM,MOH,SMART/AMEX
SYM,MHK,SMART/AMEX
SYM,MRNA,SMART/AMEX
SYM,MAA,SMART/AMEX
SYM,MSFT,SMART/AMEX
SYM,MU,SMART/AMEX
SYM,MCHP,SMART/AMEX
SYM,MGM,SMART/AMEX
SYM,MTD,SMART/AMEX
SYM,MET,SMART/AMEX
SYM,META,SMART/AMEX
SYM,MRK,SMART/AMEX
SYM,MDT,SMART/AMEX
SYM,MCK,SMART/AMEX
SYM,MCD,SMART/AMEX
SYM,MKC,SMART/AMEX
SYM,MTCH,SMART/AMEX
SYM,MA,SMART/AMEX
SYM,MAS,SMART/AMEX
SYM,MLM,SMART/AMEX
SYM,MMC,SMART/AMEX
SYM,MAR,SMART/AMEX
SYM,MKTX,SMART/AMEX
SYM,MPC,SMART/AMEX
SYM,MTB,SMART/AMEX
SYM,LYB,SMART/AMEX
SYM,LULU,SMART/AMEX
SYM,LOW,SMART/AMEX
SYM,L,SMART/AMEX
SYM,LMT,SMART/AMEX
SYM,LKQ,SMART/AMEX
SYM,LYV,SMART/AMEX
SYM,LIN,SMART/AMEX
SYM,LLY,SMART/AMEX
SYM,LEN,SMART/AMEX
SYM,LDOS,SMART/AMEX
SYM,LVS,SMART/AMEX
SYM,LW,SMART/AMEX
SYM,LRCX,SMART/AMEX
SYM,LH,SMART/AMEX
SYM,LHX,SMART/AMEX
SYM,KR,SMART/AMEX
SYM,KHC,SMART/AMEX
SYM,KLAC,SMART/AMEX
SYM,KKR,SMART/AMEX
SYM,KMI,SMART/AMEX
SYM,KIM,SMART/AMEX
SYM,KMB,SMART/AMEX
SYM,KEYS,SMART/AMEX
SYM,KEY,SMART/AMEX
SYM,KDP,SMART/AMEX
SYM,KVUE,SMART/AMEX
SYM,K,SMART/AMEX
SYM,JNPR,SMART/AMEX
SYM,JPM,SMART/AMEX
SYM,JCI,SMART/AMEX
SYM,JNJ,SMART/AMEX
SYM,J,SMART/AMEX
SYM,JKHY,SMART/AMEX
SYM,JBL,SMART/AMEX
SYM,JBHT,SMART/AMEX
SYM,IRM,SMART/AMEX
SYM,IQV,SMART/AMEX
SYM,INVH,SMART/AMEX
SYM,IVZ,SMART/AMEX
SYM,ISRG,SMART/AMEX
SYM,INTU,SMART/AMEX
SYM,IPG,SMART/AMEX
SYM,IP,SMART/AMEX
SYM,IFF,SMART/AMEX
SYM,ICE,SMART/AMEX
SYM,INTC,SMART/AMEX
SYM,PODD,SMART/AMEX
SYM,IR,SMART/AMEX
SYM,INCY,SMART/AMEX
SYM,ITW,SMART/AMEX
SYM,IDXX,SMART/AMEX
SYM,IEX,SMART/AMEX
SYM,IBM,SMART/AMEX
SYM,HII,SMART/AMEX
SYM,HBAN,SMART/AMEX
SYM,HUM,SMART/AMEX
SYM,HUBB,SMART/AMEX
SYM,HPQ,SMART/AMEX
SYM,HWM,SMART/AMEX
SYM,HST,SMART/AMEX
SYM,HRL,SMART/AMEX
SYM,HON,SMART/AMEX
SYM,HD,SMART/AMEX
SYM,HOLX,SMART/AMEX
SYM,HLT,SMART/AMEX
SYM,HPE,SMART/AMEX
SYM,HES,SMART/AMEX
SYM,HSY,SMART/AMEX
SYM,HSIC,SMART/AMEX
SYM,DOC,SMART/AMEX
SYM,HCA,SMART/AMEX
SYM,HAS,SMART/AMEX
SYM,HIG,SMART/AMEX
SYM,HAL,SMART/AMEX
SYM,GS,SMART/AMEX
SYM,GDDY,SMART/AMEX
SYM,GL,SMART/AMEX
SYM,GPN,SMART/AMEX
SYM,GILD,SMART/AMEX
SYM,GPC,SMART/AMEX
SYM,GM,SMART/AMEX
SYM,GIS,SMART/AMEX
SYM,GD,SMART/AMEX
SYM,GNRC,SMART/AMEX
SYM,GEN,SMART/AMEX
SYM,GEV,SMART/AMEX
SYM,GEHC,SMART/AMEX
SYM,GE,SMART/AMEX
SYM,IT,SMART/AMEX
SYM,GRMN,SMART/AMEX
SYM,FCX,SMART/AMEX
SYM,BEN,SMART/AMEX
SYM,FOX,SMART/AMEX
SYM,FOXA,SMART/AMEX
SYM,FTV,SMART/AMEX
SYM,FTNT,SMART/AMEX
SYM,F,SMART/AMEX
SYM,FMC,SMART/AMEX
SYM,FI,SMART/AMEX
SYM,FE,SMART/AMEX
SYM,FSLR,SMART/AMEX
SYM,FITB,SMART/AMEX
SYM,FIS,SMART/AMEX
SYM,FDX,SMART/AMEX
SYM,FRT,SMART/AMEX
SYM,FAST,SMART/AMEX
SYM,FICO,SMART/AMEX
SYM,FDS,SMART/AMEX
SYM,FFIV,SMART/AMEX
SYM,XOM,SMART/AMEX
SYM,EXR,SMART/AMEX
SYM,EXPD,SMART/AMEX
SYM,EXPE,SMART/AMEX
SYM,EXC,SMART/AMEX
SYM,ES,SMART/AMEX
SYM,EVRG,SMART/AMEX
SYM,EG,SMART/AMEX
SYM,EL,SMART/AMEX
SYM,ESS,SMART/AMEX
SYM,ERIE,SMART/AMEX
SYM,EQR,SMART/AMEX
SYM,EQIX,SMART/AMEX
SYM,EFX,SMART/AMEX
SYM,EQT,SMART/AMEX
SYM,EPAM,SMART/AMEX
SYM,EOG,SMART/AMEX
SYM,ETR,SMART/AMEX
SYM,ENPH,SMART/AMEX
SYM,EMR,SMART/AMEX
SYM,ELV,SMART/AMEX
SYM,EA,SMART/AMEX
SYM,EW,SMART/AMEX
SYM,EIX,SMART/AMEX
SYM,ECL,SMART/AMEX
SYM,EBAY,SMART/AMEX
SYM,ETN,SMART/AMEX
SYM,EMN,SMART/AMEX
SYM,DD,SMART/AMEX
SYM,DUK,SMART/AMEX
SYM,DTE,SMART/AMEX
SYM,DHI,SMART/AMEX
SYM,DOW,SMART/AMEX
SYM,DOV,SMART/AMEX
SYM,DPZ,SMART/AMEX
SYM,D,SMART/AMEX
SYM,DLTR,SMART/AMEX
SYM,DG,SMART/AMEX
SYM,DFS,SMART/AMEX
SYM,DLR,SMART/AMEX
SYM,FANG,SMART/AMEX
SYM,DXCM,SMART/AMEX
SYM,DVN,SMART/AMEX
SYM,DAL,SMART/AMEX
SYM,DELL,SMART/AMEX
SYM,DE,SMART/AMEX
SYM,DECK,SMART/AMEX
SYM,DAY,SMART/AMEX
SYM,DVA,SMART/AMEX
SYM,DRI,SMART/AMEX
SYM,DHR,SMART/AMEX
SYM,CVS,SMART/AMEX
SYM,CMI,SMART/AMEX
SYM,CSX,SMART/AMEX
SYM,CCI,SMART/AMEX
SYM,CRWD,SMART/AMEX
SYM,CTRA,SMART/AMEX
SYM,COST,SMART/AMEX
SYM,CSGP,SMART/AMEX
SYM,CTVA,SMART/AMEX
SYM,CPAY,SMART/AMEX
SYM,GLW,SMART/AMEX
SYM,CPRT,SMART/AMEX
SYM,COO,SMART/AMEX
SYM,CEG,SMART/AMEX
SYM,STZ,SMART/AMEX
SYM,ED,SMART/AMEX
SYM,COP,SMART/AMEX
SYM,CAG,SMART/AMEX
SYM,CMCSA,SMART/AMEX
SYM,CL,SMART/AMEX
SYM,CTSH,SMART/AMEX
SYM,KO,SMART/AMEX
SYM,CMS,SMART/AMEX
SYM,CME,SMART/AMEX
SYM,CLX,SMART/AMEX
SYM,CFG,SMART/AMEX
SYM,C,SMART/AMEX
SYM,CSCO,SMART/AMEX
SYM,CTAS,SMART/AMEX
SYM,CINF,SMART/AMEX
SYM,CI,SMART/AMEX
SYM,CHD,SMART/AMEX
SYM,CB,SMART/AMEX
SYM,CMG,SMART/AMEX
SYM,CVX,SMART/AMEX
SYM,CHTR,SMART/AMEX
SYM,SCHW,SMART/AMEX
SYM,CRL,SMART/AMEX
SYM,CF,SMART/AMEX
SYM,CNP,SMART/AMEX
SYM,CNC,SMART/AMEX
SYM,COR,SMART/AMEX
SYM,CE,SMART/AMEX
SYM,CDW,SMART/AMEX
SYM,CBRE,SMART/AMEX
SYM,CBOE,SMART/AMEX
SYM,CAT,SMART/AMEX
SYM,CTLT,SMART/AMEX
SYM,CARR,SMART/AMEX
SYM,CCL,SMART/AMEX
SYM,KMX,SMART/AMEX
SYM,CAH,SMART/AMEX
SYM,COF,SMART/AMEX
SYM,CPB,SMART/AMEX
SYM,CPT,SMART/AMEX
SYM,CZR,SMART/AMEX
SYM,CDNS,SMART/AMEX
SYM,CHRW,SMART/AMEX
SYM,BXP,SMART/AMEX
SYM,BG,SMART/AMEX
SYM,BLDR,SMART/AMEX
SYM,BF B,SMART/AMEX
SYM,BRO,SMART/AMEX
SYM,BR,SMART/AMEX
SYM,AVGO,SMART/AMEX
SYM,BMY,SMART/AMEX
SYM,BSX,SMART/AMEX
SYM,BWA,SMART/AMEX
SYM,BKNG,SMART/AMEX
SYM,BA,SMART/AMEX
SYM,BK,SMART/AMEX
SYM,BX,SMART/AMEX
SYM,BLK,SMART/AMEX
SYM,BIIB,SMART/AMEX
SYM,TECH,SMART/AMEX
SYM,BBY,SMART/AMEX
SYM,BRK B,SMART/AMEX
SYM,BDX,SMART/AMEX
SYM,BAX,SMART/AMEX
SYM,BAC,SMART/AMEX
SYM,BALL,SMART/AMEX
SYM,BKR,SMART/AMEX
SYM,AXON,SMART/AMEX
SYM,AVY,SMART/AMEX
SYM,AVB,SMART/AMEX
SYM,AZO,SMART/AMEX
SYM,ADP,SMART/AMEX
SYM,ADSK,SMART/AMEX
SYM,ATO,SMART/AMEX
SYM,T,SMART/AMEX
SYM,AIZ,SMART/AMEX
SYM,AJG,SMART/AMEX
SYM,ANET,SMART/AMEX
SYM,ADM,SMART/AMEX
SYM,ACGL,SMART/AMEX
SYM,APTV,SMART/AMEX
SYM,AMAT,SMART/AMEX
SYM,AAPL,SMART/AMEX
SYM,APA,SMART/AMEX
SYM,AON,SMART/AMEX
SYM,ANSS,SMART/AMEX
SYM,ADI,SMART/AMEX
SYM,APH,SMART/AMEX
SYM,AMGN,SMART/AMEX
SYM,AME,SMART/AMEX
SYM,AMP,SMART/AMEX
SYM,AWK,SMART/AMEX
SYM,AMT,SMART/AMEX
SYM,AIG,SMART/AMEX
SYM,AXP,SMART/AMEX
SYM,AEP,SMART/AMEX
SYM,AEE,SMART/AMEX
SYM,AMTM,SMART/AMEX
SYM,AMCR,SMART/AMEX
SYM,AMZN,SMART/AMEX
SYM,MO,SMART/AMEX
SYM,GOOG,SMART/AMEX
SYM,GOOGL,SMART/AMEX
SYM,ALL,SMART/AMEX
SYM,LNT,SMART/AMEX
SYM,ALLE,SMART/AMEX
SYM,ALGN,SMART/AMEX
SYM,ARE,SMART/AMEX
SYM,ALB,SMART/AMEX
SYM,AKAM,SMART/AMEX
SYM,ABNB,SMART/AMEX
SYM,APD,SMART/AMEX
SYM,A,SMART/AMEX
SYM,AFL,SMART/AMEX
SYM,AES,SMART/AMEX
SYM,AMD,SMART/AMEX
SYM,ADBE,SMART/AMEX
SYM,ACN,SMART/AMEX
SYM,ABBV,SMART/AMEX
SYM,ABT,SMART/AMEX
SYM,AOS,SMART/AMEX
SYM,MMM,SMART/AMEX
