Symbol;last price;price 3mo;price 6mo;price 9mo;price 12mo;change 3mo;change 6mo;change 9mo;change 12mo
EXC;38.84;38.51;36.09;36.08;33.11;0.86;7.62;7.65;17.31
YUM;134.01;130.51;131.52;139.16;126.98;2.68;1.89;-3.70;5.54
GEHC;82.72;87.32;84.57;76.16;73.25;-5.27;-2.19;8.61;12.93
ACGL;92.22;93.72;91.08;88.95;78.38;-1.60;1.25;3.68;17.66
A;126.92;130.10;140.91;136.35;129.22;-2.44;-9.93;-6.92;-1.78
VMC;278.27;272.95;273.04;255.81;223.95;1.95;1.92;8.78;24.26
IQV;191.04;205.82;246.23;231.77;208.23;-7.18;-22.41;-17.57;-8.26
SYY;75.76;74.45;75.58;72.83;78.77;1.76;0.24;4.02;-3.82
HSY;168.63;174.93;193.23;188.40;186.89;-3.60;-12.73;-10.49;-9.77
EXR;164.90;161.81;156.55;130.25;138.56;1.91;5.33;26.60;19.01
MLM;581.64;591.46;591.71;584.69;505.55;-1.66;-1.70;-0.52;15.05
GIS;62.88;67.45;65.94;68.62;62.64;-6.78;-4.64;-8.36;0.38
MTB;214.82;193.15;169.30;140.66;133.16;11.22;26.89;52.72;61.32
MCHP;65.25;72.97;87.88;90.56;83.43;-10.58;-25.75;-27.95;-21.79
LVS;48.95;51.38;39.14;43.59;47.88;-4.73;25.06;12.30;2.23
HPQ;37.43;35.23;35.52;27.40;27.75;6.24;5.38;36.61;34.88
DD;81.89;82.61;82.93;71.44;60.59;-0.87;-1.25;14.63;35.15
IDXX;419.83;406.92;476.12;492.76;515.08;3.17;-11.82;-14.80;-18.49
WAB;195.26;187.55;160.59;160.29;130.73;4.11;21.59;21.82;49.36
NUE;147.25;141.33;161.79;166.87;184.53;4.19;-8.99;-11.76;-20.20
HUM;271.35;257.12;359.73;299.76;374.40;5.53;-24.57;-9.48;-27.52
RMD;238.90;241.37;211.81;212.01;187.84;-1.02;12.79;12.68;27.18
HIG;118.13;109.99;109.97;95.59;85.27;7.40;7.42;23.58;38.54
IRM;115.50;122.97;101.18;75.86;65.44;-6.07;14.15;52.25;76.50
VICI;31.89;31.35;30.40;27.37;28.50;1.72;4.90;16.51;11.89
ED;95.63;99.99;95.08;91.18;87.00;-4.36;0.58;4.88;9.92
RJF;163.42;147.68;115.15;120.68;108.55;10.66;41.92;35.42;50.55
EFX;245.29;264.68;278.57;219.22;242.81;-7.33;-11.95;11.89;1.02
AVB;229.22;219.94;201.70;184.83;173.02;4.22;13.64;24.02;32.48
ROK;281.83;264.20;274.76;265.99;247.42;6.67;2.57;5.96;13.91
TTWO;182.93;161.72;150.53;142.81;164.93;13.12;21.52;28.09;10.91
EIX;84.08;81.65;78.43;68.86;64.68;2.98;7.20;22.10;29.99
WTW;312.70;301.28;280.49;248.75;243.10;3.79;11.48;25.71;28.63
FITB;46.82;43.30;41.57;35.45;32.95;8.13;12.63;32.07;42.09
CCL;24.51;22.00;16.66;14.82;16.58;11.41;47.12;65.38;47.83
ETR;148.07;152.06;112.72;102.50;94.74;-2.62;31.36;44.46;56.29
DOW;44.22;48.74;53.11;54.79;50.91;-9.27;-16.74;-19.29;-13.14
BRO;109.63;104.36;99.01;81.06;77.10;5.05;10.73;35.25;42.19
CSGP;73.35;72.79;78.02;91.53;83.48;0.77;-5.99;-19.86;-12.13
WEC;98.43;93.83;83.70;79.52;76.95;4.90;17.60;23.78;27.91
UAL;90.38;78.26;45.42;51.46;41.38;15.49;98.99;75.63;118.41
EBAY;61.41;57.25;55.07;50.77;40.21;7.27;11.51;20.96;52.72
LYV;132.60;117.14;96.19;88.91;88.85;13.20;37.85;49.14;49.24
ANSS;336.40;320.41;313.63;324.88;327.83;4.99;7.26;3.55;2.61
CNC;58.83;62.26;76.92;73.06;75.31;-5.51;-23.52;-19.48;-21.88
TSCO;276.82;264.43;261.23;269.66;220.64;4.69;5.97;2.66;25.46
GPN;116.06;103.47;101.14;121.93;132.07;12.17;14.75;-4.81;-12.12
XYL;122.46;121.46;132.80;129.64;111.16;0.82;-7.79;-5.54;10.17
CAH;120.03;108.02;99.85;101.59;107.11;11.12;20.21;18.15;12.06
DXCM;76.27;70.48;67.82;127.39;121.35;8.22;12.46;-40.13;-37.15
PPG;122.75;123.13;124.96;126.36;137.46;-0.31;-1.77;-2.86;-10.70
EQR;74.42;69.76;68.35;62.54;57.84;6.68;8.88;19.00;28.67
ON;66.48;70.49;78.25;70.16;71.13;-5.69;-15.04;-5.25;-6.54
MPWR;587.84;758.27;860.59;666.14;598.91;-22.48;-31.69;-11.75;-1.85
NVR;8865.63;9152.81;8607.48;7438.85;7075.29;-3.14;3.00;19.18;25.30
K;80.60;80.08;57.20;56.35;52.75;0.65;40.91;43.03;52.80
DOV;200.53;188.80;183.23;177.74;147.94;6.21;9.44;12.82;35.55
HPE;21.38;19.35;19.65;16.66;14.86;10.49;8.80;28.33;43.88
STT;96.12;92.00;83.45;70.56;71.27;4.48;15.18;36.22;34.87
DECK;176.45;160.89;153.77;136.41;125.62;9.67;14.75;29.35;40.46
VTR;63.86;65.03;53.58;43.13;44.79;-1.80;19.19;48.06;42.58
LYB;83.20;85.67;96.78;96.07;89.25;-2.88;-14.03;-13.40;-6.78
KEYS;151.42;149.01;139.57;147.94;153.26;1.62;8.49;2.35;-1.20
TROW;118.66;108.56;111.66;105.99;103.67;9.30;6.27;11.95;14.46
BR;227.08;209.98;212.24;191.06;200.89;8.14;6.99;18.85;13.04
PHM;128.57;129.35;131.58;110.87;103.84;-0.60;-2.29;15.96;23.82
HAL;30.45;27.58;34.31;36.89;34.94;10.41;-11.25;-17.46;-12.85
CHD;110.00;99.37;97.22;106.71;98.46;10.70;13.15;3.08;11.72
TYL;601.19;605.59;568.11;461.55;422.75;-0.73;5.82;30.25;42.21
FTV;74.61;71.35;71.69;75.04;77.84;4.57;4.07;-0.57;-4.15
MTD;1174.56;1291.75;1521.03;1229.70;1197.19;-9.07;-22.78;-4.48;-1.89
SW;53.12;48.76;;;;8.94;;;
GDDY;185.02;166.80;145.45;122.38;106.66;10.92;27.21;51.18;73.47
DVN;38.77;38.25;46.16;49.76;40.15;1.36;-16.01;-22.09;-3.44
CPAY;364.57;329.72;291.82;302.14;289.93;10.57;24.93;20.66;25.74
AWK;135.89;136.59;140.00;119.59;120.56;-0.51;-2.94;13.63;12.72
EQT;44.09;36.20;34.06;39.38;34.65;21.80;29.45;11.96;27.24
VLTO;102.84;102.11;106.38;93.42;76.40;0.71;-3.33;10.08;34.61
HBAN;17.80;15.42;14.61;13.00;12.15;15.43;21.83;36.92;46.50
SYF;63.76;54.59;50.00;43.02;38.02;16.80;27.52;48.21;67.70
ADM;52.71;54.74;60.99;57.15;53.82;-3.71;-13.58;-7.77;-2.06
DTE;120.50;123.21;118.47;107.42;101.72;-2.20;1.71;12.18;18.46
PPL;34.00;32.30;29.22;26.73;25.28;5.26;16.36;27.20;34.49
WST;307.01;307.73;305.77;356.82;371.92;-0.23;0.41;-13.96;-17.45
ROL;49.89;46.84;47.45;43.97;42.57;6.51;5.14;13.46;17.20
WBD;9.47;8.13;8.65;7.36;10.02;16.48;9.48;28.67;-5.49
NTAP;119.34;114.82;125.94;100.89;85.58;3.94;-5.24;18.29;39.45
CDW;178.07;187.72;216.95;239.97;224.31;-5.14;-17.92;-25.79;-20.61
BIIB;157.94;174.00;213.20;214.82;246.66;-9.23;-25.92;-26.48;-35.97
AEE;92.35;86.42;77.91;71.94;67.21;6.86;18.53;28.37;37.41
RF;26.33;23.62;21.86;18.58;17.75;11.47;20.45;41.71;48.34
HUBB;444.93;425.71;393.20;367.00;331.01;4.51;13.16;21.23;34.42
FE;41.26;40.98;40.62;36.74;34.76;0.68;1.58;12.30;18.70
SBAC;220.62;227.42;216.50;182.73;218.98;-2.99;1.90;20.74;0.75
EXPE;180.40;156.31;127.67;134.63;148.33;15.41;41.30;34.00;21.62
CINF;152.13;140.00;128.92;113.42;107.83;8.66;18.00;34.13;41.08
EL;64.57;68.44;98.35;144.21;129.06;-5.65;-34.35;-55.23;-49.97
PTC;189.26;185.33;177.85;177.44;180.65;2.12;6.42;6.66;4.77
IFF;86.61;99.04;98.68;83.57;78.87;-12.55;-12.23;3.64;9.81
TSN;64.54;58.15;59.92;59.13;52.83;10.99;7.71;9.15;22.17
WRB;60.83;56.84;54.39;50.56;53.32;7.02;11.84;20.31;14.08
ES;62.07;65.15;63.46;58.54;51.81;-4.73;-2.19;6.03;19.80
WY;31.02;30.96;31.34;29.47;31.82;0.19;-1.02;5.26;-2.51
LDOS;158.84;182.71;143.66;139.09;109.20;-13.06;10.57;14.20;45.46
ATO;146.97;137.92;126.19;115.52;110.85;6.56;16.47;27.22;32.58
WAT;355.47;323.11;336.28;309.04;317.71;10.02;5.71;15.02;11.89
TDY;465.89;455.32;421.86;381.48;418.47;2.32;10.44;22.13;11.33
WDC;64.58;65.31;67.05;70.83;57.25;-1.12;-3.68;-8.82;12.80
STE;217.09;221.32;237.64;203.15;216.88;-1.91;-8.65;6.86;0.10
FOXA;45.38;41.72;37.79;30.53;31.80;8.77;20.08;48.64;42.70
ZBH;113.02;106.68;110.86;119.52;124.56;5.94;1.95;-5.44;-9.26
ERIE;412.63;447.79;438.59;379.23;341.42;-7.85;-5.92;8.81;20.86
PKG;238.11;227.58;197.34;169.63;161.46;4.63;20.66;40.37;47.47
NTRS;108.93;99.68;87.11;80.21;76.82;9.28;25.05;35.81;41.80
STLD;140.69;130.02;132.25;128.76;119.01;8.21;6.38;9.27;18.22
FSLR;195.56;194.48;215.99;176.30;146.30;0.56;-9.46;10.92;33.67
BLDR;178.30;171.40;167.37;182.82;173.73;4.03;6.53;-2.47;2.63
CBOE;205.77;213.57;183.51;181.15;183.29;-3.65;12.13;13.59;12.26
STX;97.02;99.70;100.82;84.09;83.16;-2.69;-3.77;15.38;16.67
INVH;34.15;31.16;34.71;33.39;31.62;9.60;-1.61;2.28;8.00
FOX;42.75;38.68;35.18;28.20;29.51;10.52;21.52;51.60;44.87
CFG;46.57;41.70;41.83;33.04;31.29;11.68;11.33;40.95;48.83
CLX;169.10;156.00;129.81;144.29;140.54;8.40;30.27;17.19;20.32
OMC;98.33;100.32;96.63;90.82;87.69;-1.98;1.76;8.27;12.13
ZBRA;384.28;381.97;351.19;314.56;239.55;0.60;9.42;22.16;60.42
ESS;302.54;281.50;273.57;239.52;224.82;7.47;10.59;26.31;34.57
CMS;67.98;68.55;63.29;58.65;54.82;-0.83;7.41;15.91;24.01
MKC;74.62;77.83;76.15;74.80;66.62;-4.12;-2.01;-0.24;12.01
LH;238.64;227.56;213.98;199.35;219.32;4.87;11.52;19.71;8.81
COO;99.48;104.68;93.33;89.06;93.26;-4.97;6.59;11.70;6.67
DRI;164.45;158.61;143.55;149.29;156.95;3.68;14.56;10.15;4.78
IP;57.23;54.54;45.14;33.49;33.85;4.93;26.78;70.89;69.07
PFG;86.07;81.67;80.09;77.09;76.35;5.39;7.47;11.65;12.73
BBY;89.00;89.57;84.84;71.34;69.35;-0.64;4.90;24.75;28.33
CNP;31.15;29.30;27.35;28.51;27.14;6.31;13.89;9.26;14.78
LUV;32.33;30.39;26.61;25.49;29.19;6.38;21.50;26.83;10.76
BF.B;;;;;;;;;
KEY;19.23;17.04;15.71;13.91;13.71;12.85;22.41;38.25;40.26
ARE;105.22;110.35;114.73;112.19;115.91;-4.65;-8.29;-6.21;-9.22
MAA;158.52;149.89;136.98;125.99;121.12;5.76;15.72;25.82;30.88
FDS;485.93;452.93;411.01;413.91;471.50;7.29;18.23;17.40;3.06
SNA;357.34;327.91;283.18;262.55;282.18;8.98;26.19;36.10;26.64
CTRA;25.91;23.52;25.17;26.49;23.91;10.16;2.94;-2.19;8.36
JBHT;183.58;179.75;171.87;161.05;198.62;2.13;6.81;13.99;-7.57
NRG;92.81;89.50;74.42;71.55;51.83;3.70;24.71;29.71;79.07
GEN;29.16;28.84;25.63;19.74;22.87;1.11;13.77;47.72;27.50
BALL;60.86;59.06;63.45;68.93;54.74;3.05;-4.08;-11.71;11.18
PODD;260.68;231.53;194.35;171.94;190.87;12.59;34.13;51.61;36.57
ULTA;353.35;368.98;364.89;404.84;502.05;-4.24;-3.16;-12.72;-29.62
L;84.41;78.90;79.82;74.96;72.61;6.98;5.75;12.61;16.25
HOLX;78.79;80.87;81.61;75.77;74.44;-2.57;-3.46;3.99;5.84
VRSN;179.20;176.84;187.01;169.48;198.88;1.33;-4.18;5.74;-9.90
DGX;162.11;154.07;140.84;135.98;125.73;5.22;15.10;19.22;28.94
MOH;292.19;321.22;341.27;342.10;356.44;-9.04;-14.38;-14.59;-18.03
PNR;105.87;98.89;87.41;78.45;72.34;7.06;21.12;34.95;46.35
J;140.35;140.29;121.42;118.84;111.59;0.04;15.59;18.10;25.77
IEX;226.66;213.93;206.45;218.31;208.80;5.95;9.79;3.82;8.55
TER;104.15;106.11;130.92;115.97;96.19;-1.85;-20.45;-10.19;8.28
TRMB;69.88;60.50;54.54;60.07;50.86;15.50;28.13;16.33;37.40
GPC;124.19;113.86;145.03;153.96;136.36;9.07;-14.37;-19.34;-8.92
MAS;76.80;79.32;76.95;67.39;65.92;-3.18;-0.19;13.96;16.50
DG;77.09;79.48;119.01;137.08;129.50;-3.01;-35.22;-43.76;-40.47
NWS;31.45;28.93;28.39;24.36;25.38;8.71;10.78;29.11;23.92
EXPD;120.33;119.00;124.07;110.64;124.84;1.12;-3.01;8.76;-3.61
NI;36.81;34.89;30.75;26.88;25.06;5.50;19.71;36.94;46.89
KIM;25.10;23.48;21.24;17.99;19.19;6.90;18.17;39.52;30.80
HRL;29.40;30.27;31.53;34.63;29.31;-2.87;-6.76;-15.10;0.31
UDR;44.44;41.78;39.27;36.90;34.52;6.37;13.17;20.43;28.74
NWSA;28.61;27.15;27.48;23.62;24.45;5.38;4.11;21.13;17.01
ALGN;229.90;205.03;231.88;282.38;267.32;12.13;-0.85;-18.58;-14.00
BAX;33.02;35.43;35.24;39.44;37.50;-6.80;-6.30;-16.28;-11.95
MRO;28.88;27.49;27.72;26.41;22.37;5.06;4.18;9.35;29.10
AVY;198.31;206.20;215.13;214.77;196.33;-3.83;-7.82;-7.66;1.01
TXT;83.34;80.40;92.86;84.53;84.63;3.66;-10.25;-1.41;-1.52
EG;373.33;353.75;388.80;361.00;377.69;5.53;-3.98;3.42;-1.15
MRNA;39.51;54.36;119.22;110.31;101.05;-27.32;-66.86;-64.18;-60.90
LNT;61.81;59.51;54.74;48.50;46.93;3.86;12.92;27.44;31.71
DOC;20.59;21.84;20.89;17.51;17.11;-5.72;-1.44;17.59;20.34
VTRS;13.00;11.48;11.80;11.21;11.26;13.24;10.17;15.97;15.45
DPZ;444.90;412.19;425.89;524.04;420.74;7.94;4.46;-15.10;5.74
INCY;76.97;74.12;65.07;52.05;58.77;3.85;18.29;47.88;30.97
CF;86.87;81.24;74.96;76.99;73.25;6.93;15.89;12.83;18.59
NDSN;253.45;247.14;248.95;256.11;249.01;2.55;1.81;-1.04;1.78
AMCR;10.15;11.01;10.28;8.61;8.96;-7.81;-1.26;17.89;13.28
JBL;128.21;122.92;112.44;117.05;124.88;4.30;14.03;9.53;2.67
EVRG;63.87;59.78;56.70;50.64;48.39;6.84;12.65;26.13;31.99
RVTY;109.47;118.52;125.46;102.27;106.90;-7.64;-12.75;7.04;2.40
DLTR;66.53;64.64;104.34;118.25;130.62;2.92;-36.24;-43.74;-49.07
FFIV;239.99;233.88;203.64;165.31;183.70;2.61;17.85;45.18;30.64
BXP;78.41;79.58;69.32;59.19;62.73;-1.47;13.11;32.47;25.00
EPAM;233.40;188.65;215.13;235.26;278.11;23.72;8.49;-0.79;-16.08
POOL;359.63;359.17;370.30;357.93;365.32;0.13;-2.88;0.47;-1.56
TPR;56.55;47.05;39.43;38.97;37.46;20.19;43.42;45.11;50.96
SWKS;83.99;87.01;112.06;104.45;101.63;-3.47;-25.05;-19.59;-17.36
REG;73.77;70.80;66.00;57.41;60.12;4.19;11.77;28.50;22.70
AKAM;85.96;101.08;98.28;100.93;123.23;-14.96;-12.54;-14.83;-30.24
UHS;197.94;204.14;213.36;169.90;158.08;-3.04;-7.23;16.50;25.22
SWK;86.58;92.20;103.80;89.02;90.06;-6.10;-16.59;-2.74;-3.86
CPB;43.52;46.29;46.12;44.61;43.20;-5.98;-5.64;-2.44;0.74
CHRW;109.99;102.41;87.89;69.50;81.70;7.40;25.15;58.26;34.63
RL;207.83;197.10;174.04;161.53;141.08;5.44;19.42;28.66;47.31
CAG;26.61;28.27;29.61;29.72;27.46;-5.87;-10.13;-10.46;-3.10
CPT;119.89;114.83;108.80;96.87;90.27;4.41;10.19;23.76;32.81
TAP;61.87;54.02;51.98;55.92;59.94;14.53;19.03;10.64;3.22
JNPR;35.61;38.68;37.25;34.21;36.02;-7.94;-4.40;4.09;-1.14
APTV;52.71;56.83;69.39;71.00;81.33;-7.25;-24.04;-25.76;-35.19
DVA;157.41;139.81;136.62;139.01;108.16;12.59;15.22;13.24;45.53
JKHY;172.06;181.35;170.38;161.13;163.70;-5.12;0.99;6.78;5.11
PAYC;218.90;208.55;166.05;186.76;188.61;4.96;31.83;17.21;16.06
BG;90.62;82.80;103.03;98.89;85.08;9.44;-12.05;-8.36;6.51
ALLE;138.64;139.16;135.80;120.23;122.07;-0.37;2.09;15.31;13.57
HST;17.41;17.05;17.12;18.27;18.20;2.11;1.69;-4.71;-4.34
KMX;77.10;72.38;84.44;67.97;71.18;6.52;-8.69;13.43;8.32
DAY;74.65;70.95;59.28;61.37;69.52;5.21;25.93;21.64;7.38
ALB;104.03;94.30;92.90;118.94;113.11;10.32;11.98;-12.54;-8.03
SJM;109.39;111.39;114.67;110.71;125.61;-1.80;-4.60;-1.19;-12.91
NCLH;26.10;25.34;18.43;18.92;17.80;3.00;41.62;37.95;46.63
SOLV;67.12;69.72;52.88;;;-3.73;26.93;;
EMN;104.01;104.26;101.68;92.13;80.77;-0.24;2.29;12.89;28.77
TECH;66.79;73.59;81.34;62.94;69.92;-9.24;-17.89;6.12;-4.48
LW;76.46;76.86;59.12;81.80;100.24;-0.52;29.33;-6.53;-23.72
BEN;21.80;20.46;22.22;21.94;25.31;6.55;-1.89;-0.64;-13.87
MGM;37.15;36.87;42.97;39.44;43.37;0.76;-13.54;-5.81;-14.34
GNRC;181.94;165.55;155.68;135.96;113.67;9.90;16.87;33.82;60.06
AIZ;221.60;191.00;173.51;172.30;165.20;16.02;27.72;28.61;34.14
IPG;27.52;29.10;31.51;29.50;31.65;-5.43;-12.66;-6.71;-13.05
CTLT;58.78;58.60;59.34;55.85;51.64;0.31;-0.94;5.25;13.83
AOS;72.15;74.76;84.34;81.84;76.38;-3.49;-14.45;-11.84;-5.54
SMCI;21.54;29.11;70.17;85.88;52.96;-26.00;-69.30;-74.92;-59.33
PNW;90.63;86.00;83.83;71.29;65.85;5.38;8.11;27.13;37.63
WYNN;90.22;95.45;82.12;90.66;93.13;-5.48;9.86;-0.49;-3.12
CRL;187.50;178.58;244.10;229.00;216.28;4.99;-23.19;-18.12;-13.31
LKQ;37.77;36.23;40.59;41.94;45.09;4.25;-6.95;-9.94;-16.23
MKTX;267.33;288.49;222.05;198.12;222.56;-7.33;20.39;34.93;20.12
AES;13.60;16.16;17.43;17.37;16.02;-15.84;-21.97;-21.70;-15.11
FRT;112.53;109.78;109.39;100.98;97.59;2.51;2.87;11.44;15.31
GL;109.75;105.36;92.26;75.61;121.69;4.17;18.96;45.15;-9.81
TFX;194.08;200.41;219.84;207.42;240.88;-3.16;-11.72;-6.43;-19.43
MHK;138.47;134.27;161.07;115.32;104.25;3.13;-14.03;20.07;32.82
HAS;61.69;64.93;63.78;59.99;47.24;-4.99;-3.28;2.83;30.59
ENPH;62.40;83.04;115.11;108.76;104.13;-24.86;-45.79;-42.63;-40.07
APA;22.46;23.37;30.64;30.65;30.29;-3.89;-26.70;-26.72;-25.85
MOS;25.81;26.55;29.33;30.72;29.88;-2.79;-12.00;-15.98;-13.62
HSIC;73.89;70.23;71.94;69.28;74.84;5.21;2.71;6.65;-1.27
CZR;36.54;40.05;39.95;35.82;43.87;-8.76;-8.54;2.01;-16.71
CE;73.00;125.28;139.67;150.61;143.43;-41.73;-47.73;-51.53;-49.10
IVZ;17.27;16.93;16.63;13.48;14.83;2.01;3.85;28.12;16.45
MTCH;30.51;36.03;38.14;30.82;38.38;-15.32;-20.01;-1.01;-20.51
HII;196.30;184.11;277.25;272.99;253.85;6.62;-29.20;-28.09;-22.67
WBA;8.40;8.97;11.10;16.39;20.38;-6.35;-24.32;-48.75;-58.78
PARA;10.61;10.89;11.31;11.23;14.34;-2.57;-6.19;-5.52;-26.01
BWA;34.38;33.52;35.09;32.45;33.46;2.57;-2.02;5.95;2.75
FMC;55.23;64.42;57.26;57.36;54.13;-14.27;-3.55;-3.71;2.03
AMTM;22.77;;;;;;;;
QRVO;66.32;71.26;119.80;116.84;99.74;-6.93;-44.64;-43.24;-33.51
